Car_Name,Brand,Model,Variant,Year,Age_Years,Km_Driven,Fuel_Type,Transmission,Owner,Seller_Type,Mileage_kmpl,Engine_CC,Max_Power_BHP,Torque_Nm,Seats,Original_Price_L,Selling_Price_L
BMW 3 Series 320d Sport 2016,BMW,3 Series,320d Sport,2016,8,66400,Diesel,Automatic,First Owner,Individual,25.8,1995,139.7,330,5,46.9,26.06
Maruti Alto K10 LXI 2020,Maruti,Alto K10,LXI,2020,4,40390,Petrol,Manual,First Owner,Individual,16.4,796,54.2,116,5,4.34,2.84
Kia Sonet HTK+ 2022,Kia,Sonet,HTK+,2022,2,20417,Diesel,Manual,Second Owner,Individual,26.8,1493,99.5,247,5,11.49,8.17
Volkswagen Polo Highline 2019,Volkswagen,Polo,Highline,2019,5,31904,Petrol,Manual,First Owner,Individual,15.9,999,72.0,164,5,9.59,5.96
Hyundai Creta SX(O) 2013,Hyundai,Creta,SX(O),2013,11,141178,Diesel,Automatic,First Owner,Individual,22.9,1493,89.0,229,5,18.99,7.96
Hyundai Creta SX 2022,Hyundai,Creta,SX,2022,2,24856,Petrol,Automatic,Second Owner,Individual,15.6,1497,84.0,173,5,14.99,10.4
Skoda Kushaq Style 2017,Skoda,Kushaq,Style,2017,7,85236,Petrol,Automatic,Second Owner,Individual,16.4,1498,88.6,160,5,17.99,8.96
Maruti Alto K10 STD 2020,Maruti,Alto K10,STD,2020,4,56172,Petrol,Manual,Second Owner,Individual,16.9,796,46.1,114,5,3.99,2.32
Hyundai Creta SX 2013,Hyundai,Creta,SX,2013,11,115291,Petrol,Automatic,First Owner,Dealer,19.1,1497,115.5,251,5,14.99,5.62
Volkswagen Tiguan Elegance 2015,Volkswagen,Tiguan,Elegance,2015,9,110207,Petrol,Automatic,Second Owner,Individual,18.2,1984,130.3,237,5,31.99,13.57
Kia Seltos GTX+ 2019,Kia,Seltos,GTX+,2019,5,85868,Diesel,Automatic,Second Owner,Individual,23.4,1493,102.3,200,5,19.65,10.88
Honda City e:HEV 2023,Honda,City,e:HEV,2023,1,13484,Hybrid,Automatic,First Owner,Individual,18.8,1498,99.5,196,5,19.5,16.39
Kia Seltos HTX 2023,Kia,Seltos,HTX,2023,1,8345,Petrol,Automatic,First Owner,Trustmark Dealer,16.2,1497,106.6,191,5,14.99,13.13
Maruti Alto K10 VXI 2019,Maruti,Alto K10,VXI,2019,5,54088,Petrol,Manual,First Owner,Dealer,16.2,796,48.6,94,5,4.79,2.98
